text,true_label,predicted_label,confidence,requires_human_review,triage_note,optional_qwen_explanation
"This Joinder Agreement may be executed in multiple counterparts, each of which shall constitute an original but all of which when taken together shall constitute one and the same instrument. Section 10.13 of the Loan Agreement (the joint borrower provisions) is by this reference hereby incorporated herein in its entirety.",Counterparts,Counterparts,0.6598921474882985,False,This output is for clause triage and research purposes only.,
"This Amendment may be executed in any number of counterparts, each of which when so executed and delivered shall be deemed to be an original, and all of which taken together shall constitute but one and the same instrument. The transmission or receipt of a facsimile or similar communication being a reproduction of a party’s signature or initial shall produce the same legal result as the transmission or receipt of an original signature or initial.",Counterparts,Counterparts,0.6514162161235622,False,This output is for clause triage and research purposes only.,
"Borrower shall, and shall cause each Credit Party to, keep its business and the Collateral insured for risks and in amounts standard for companies in Borrower’s industry and location and as Agent may reasonably request. Insurance policies shall be in a form, with companies, and in amounts that are satisfactory to Agent. All property policies shall have a lender’s loss payable endorsement showing Agent as primary lender’s loss payee and waive subrogation against Agent, and all liability policies shall show, or have endorsements showing, Agent as an additional insured. No other loss payees may be shown on the policies other than (i) loss payees showing on such policies as of the Closing Date and (ii) as Agent shall otherwise consent in writing. If required by Agent, all policies (or the loss payable and additional insured endorsements) shall provide that the insurer shall endeavor to give Agent at least [***] ( [***] for non-payment of premium) notice before canceling, amending, or declining to renew its policy. At Agent’s request, Borrower shall deliver certified copies of all such Credit Party insurance policies and evidence of all premium payments. If any Credit Party fails to obtain insurance as required under this Section 6.5 or to pay any amount or furnish any required proof of payment to third persons and Agent, Agent may make all or part of such payment or obtain such insurance policies required in this Section 6.5, and take any action under the policies Agent deems prudent.",Insurances,Insurances,0.7295295464435007,False,This output is for clause triage and research purposes only.,
"If any provision of this Agreement is or becomes or is deemed to be invalid, illegal, or unenforceable in any jurisdiction, such provision shall be construed or deemed amended to conform to the applicable law or, if it cannot be construed or deemed amended without, in the determination of the Committee, materially altering the intent of this Agreement, such provision shall be stricken as to such jurisdiction, and the remainder of this Agreement shall remain in full force and effect.",Severability,Severability,0.6891501771358346,False,This output is for clause triage and research purposes only.,
"To request the issuance of a Letter of Credit or the amendment, renewal or extension of an outstanding Letter of Credit, a Borrower shall hand deliver or telecopy (or transmit by electronic communication, if arrangements for doing so have been approved by the applicable Issuing Bank) an LC Request to the applicable Issuing Bank and the Administrative Agent not later than the Applicable Time specified by the Administrative Agent on the third Business Day preceding the requested date of issuance, amendment, renewal or extension (or such later date and time as is reasonably acceptable to the applicable Issuing Bank). A request for an initial issuance of a Letter of Credit shall specify in form and detail reasonably satisfactory to the applicable Issuing Bank: (i) the proposed issuance date of the requested Letter of Credit (which shall be a Business Day); (ii) the amount and currency thereof; (iii) the expiry date thereof; (iv) the name and address of the beneficiary thereof; (v) the documents to be presented by such beneficiary in case of any drawing thereunder; (vi) the full text of any certificate to be presented by such beneficiary in case of any drawing thereunder; and (vii) such other matters as the applicable Issuing Bank may reasonably require and shall attach the agreed form of the Letter of Credit. A request for an amendment, renewal or extension of any outstanding Letter of Credit shall specify in form and detail reasonably satisfactory to the applicable Issuing Bank, (w) the Letter of Credit to be amended, renewed or extended; (x) the proposed date of amendment, renewal or extension thereof (which shall be a Business Day), (y) the nature of the proposed amendment, renewal or extension; and (z) such other matters as the applicable Issuing Bank may reasonably require. If requested by the applicable Issuing Bank, the applicable Borrower also shall submit a letter of credit application substantially on such Issuing Bank’s standard form in connection with any request for a Letter of Credit. A Letter of Credit shall be issued, amended, renewed or extended only if (and upon issuance, amendment, renewal or extension of each Letter of Credit, the applicable Borrower shall be deemed to represent and warrant (solely in the case of (w) and (x)) that, after giving effect to such issuance, amendment, renewal or extension) (A) the LC Exposure shall not exceed $150,000,000 (the “ LC Sublimit ”), (B) the European LC Exposure shall not exceed $40,000,000 (the “ European LC Sublimit ”), (C) the Availability Conditions are satisfied, (D) the European LC Exposure attributable to European Letters of Credit issued by any European Issuing Bank shall not exceed the Dollar Equivalent of such European Issuing Bank’s European Issuing Bank Sublimit, (E) the U.S. LC Exposure attributable to U.S. Letters of Credit issued by any U.S. Issuing Bank shall not exceed the Dollar Equivalent of such U.S. Issuing Bank’s U.S. Issuing Bank Sublimit and (F) if a Defaulting Lender exists, either such Lender or the Lead Borrower has entered into arrangements satisfactory to the Administrative Agent and the applicable Issuing Bank to eliminate any Fronting Exposure associated with such Lender.",Amendments,Amendments,0.6246422684397137,False,This output is for clause triage and research purposes only.,
The waiver by any of the parties hereto of a breach of any provision of this Agreement shall not be construed as a waiver of any subsequent breach. The failure of a party to insist upon strict adherence to any provision of this Agreement on one or more occasions shall not be considered a waiver or deprive that party of the right thereafter to insist upon strict adherence to that provision or any other provision of this Agreement. Any waiver must be in writing.,Waivers,Waivers,0.6773767462682095,False,This output is for clause triage and research purposes only.,
Any notice required or permitted hereunder shall be given in writing and shall be deemed effectively given upon delivery to the Employee at her/his address then on file with the Company.,Notices,Notices,0.7139604154427122,False,This output is for clause triage and research purposes only.,
"The validity, interpretation, construction and performance of this Agreement will be governed by and construed in accordance with the laws of the State of Maryland, without giving effect to the principles of conflict of laws.",Governing Laws,Governing Laws,0.7885094834373522,False,This output is for clause triage and research purposes only.,
"Employee agrees to make no disclosure or use of any proprietary or confidential information, including without limitation, data, developments, customer information, or trade secrets belonging to the Company or learned or acquired by Employee and will take all action necessary to preserve that confidentiality. Employee shall continue to comply with any confidentiality agreements, provisions, and policies by which Employee has previously agreed to abide. For purposes of emphasis and as a reminder, portions of this Agreement set forth obligations already imposed on Employee by agreement(s) of confidentiality, whether by acceptance of the Company policy(s) or provision(s) on confidentiality in writing, by electronic affirmation of such policy(s) or provision(s), or by the fact of Employee’s employment with the Company constituting an acceptance of the confidentiality requirements in policy(s) or provision(s) applicable to employees generally including, but not limited to, obligations related to nondisclosure. This Agreement does not supersede any such confidentiality agreement(s), policy(s) or provision(s), but instead supplements the terms of all such confidentiality agreement(s), policy(s) and provision(s).",Confidentiality,Confidentiality,0.6541727632670812,False,This output is for clause triage and research purposes only.,
"Subject to the other terms of this Agreement, the Parties agree to execute and deliver such other instruments and perform such acts, in addition to the matters in this Agreement specified, as may be reasonably appropriate or necessary from time to time, to effectuate the intent of this Agreement.",Further Assurances,Further Assurances,0.7159675084493559,False,This output is for clause triage and research purposes only.,
