label,rank,term,tfidf_score
Counterparts,10,which,0.1353552650823116
Counterparts,11,or,0.13356099479124534
Counterparts,12,one and,0.13338027976793598
Counterparts,13,of which,0.12859871601751519
Counterparts,14,an original,0.1228581783106561
Counterparts,15,counterparts each,0.12161316201161168
Counterparts,16,in,0.12018807402814205
Counterparts,17,an,0.11354366685653729
Counterparts,18,by,0.11141297088589609
Counterparts,19,may,0.11096440331312953
Counterparts,20,shall be,0.10998316174770266
Entire Agreements,1,the,0.572312721042819
Entire Agreements,2,and,0.3814751691702004
Entire Agreements,3,agreement,0.28350722740217205
Entire Agreements,4,or,0.1937615950325317
Entire Agreements,5,of,0.18151560231152816
Entire Agreements,6,to,0.17536761412914678
Entire Agreements,7,this,0.17369316206321364
Entire Agreements,8,this agreement,0.13840470956921974
Entire Agreements,9,parties,0.12081046696598198
Entire Agreements,10,any,0.11511233157743339
Entire Agreements,11,the parties,0.1148374215367578
Entire Agreements,12,with,0.10703997311032289
Entire Agreements,13,subject matter,0.10144550232322545
Entire Agreements,14,to the,0.10094196857170071
Entire Agreements,15,subject,0.09216983909196143
Entire Agreements,16,in,0.0904703952041487
Entire Agreements,17,agreements,0.09042041156038949
Entire Agreements,18,matter,0.08862100038505835
Entire Agreements,19,matter hereof,0.08614058433965079
Entire Agreements,20,the subject,0.08104495919741758
Expenses,1,the,0.5942194682237607
Expenses,2,and,0.34637563633634433
Expenses,3,of,0.3294657211261031
Expenses,4,to,0.20478664479984685
Expenses,5,in,0.198830316457135
Expenses,6,or,0.1840404503180285
Expenses,7,expenses,0.16792617946634011
Expenses,8,any,0.12932299333921804
Expenses,9,with,0.11382644417639996
Expenses,10,shall,0.11291785171734221
Expenses,11,by,0.10352906297374559
Expenses,12,of the,0.09661366481313947
Expenses,13,fees,0.09525077612455286
Expenses,14,this,0.09383741007712972
Expenses,15,for,0.09353454592411048
Expenses,16,all,0.08934492514067757
Expenses,17,be,0.08242952698007146
Expenses,18,company,0.0823790496212349
Expenses,19,agreement,0.07677606279037887
Expenses,20,incurred,0.07559854485432965
Further Assurances,1,the,0.5229488695517762
Further Assurances,2,and,0.4479211230562339
Further Assurances,3,to,0.348687344479648
Further Assurances,4,or,0.2325860141361811
Further Assurances,5,of,0.22535706337894637
Further Assurances,6,such,0.13970494986140758
Further Assurances,7,any,0.1396501850829437
Further Assurances,8,in,0.11889433404512578
Further Assurances,9,other,0.10257443006288373
Further Assurances,10,be,0.0961121862041436
Further Assurances,11,documents,0.09063570835775364
Further Assurances,12,as,0.09025235490850635
Further Assurances,13,of the,0.08915705933922836
Further Assurances,14,all,0.08609023174524999
Further Assurances,15,this,0.07951845832958206
Further Assurances,16,may,0.07814933886798457
Further Assurances,17,agreement,0.07683498418485098
Further Assurances,18,agent,0.07672545462792318
Further Assurances,19,shall,0.07283715535698632
Further Assurances,20,time,0.07092038811074983
General,1,the,0.6436091302520965
General,2,of,0.35281523152371796
General,3,to,0.2852409683398558
General,4,and,0.23367221039350053
General,5,or,0.2165642851523898
General,6,in,0.19002454432489105
General,7,any,0.15940176644700788
General,8,shall,0.13490354414470132
General,9,be,0.13273953450799758
General,10,of the,0.10501571293588736
General,11,such,0.10309668552220667
General,12,as,0.0948081203099263
General,13,by,0.08970432399694578
General,14,a,0.08872439510485351
General,15,to the,0.07810849877385401
General,16,this,0.0729230417198658
General,17,shall be,0.06328707428095856
General,18,for,0.06128638612627019
General,19,with,0.059816492788131795
General,20,company,0.05924486760107798
Governing Laws,1,of,0.4778814866484556
Governing Laws,2,the,0.4767428150627796
Governing Laws,3,and,0.25749160124086595
Governing Laws,4,to,0.1950354647665374
Governing Laws,5,in,0.18093491496391628
Governing Laws,6,or,0.17178758655898574
Governing Laws,7,any,0.15482137993241335
Governing Laws,8,of the,0.15015282643114178
Governing Laws,9,be,0.13155452386510044
Governing Laws,10,this,0.12705677110168026
Governing Laws,11,shall,0.12198968254542206
Governing Laws,12,state,0.11861162350791658
Governing Laws,13,laws,0.11483502941542452
Governing Laws,14,by,0.11079274528627472
Governing Laws,15,the state,0.1070027893111474
Governing Laws,16,shall be,0.10026003311877173
Governing Laws,17,agreement,0.09817246854503241
Governing Laws,18,state of,0.09723002711773716
Governing Laws,19,with,0.09071416965885461
Governing Laws,20,laws of,0.08827332042316567
Indemnifications,1,the,0.5010562967638033
Indemnifications,2,or,0.4244069042442283
Indemnifications,3,of,0.3473990324229036
Indemnifications,4,and,0.274138898756235
Indemnifications,5,any,0.2684684079831032
Indemnifications,6,to,0.23770436608749143
Indemnifications,7,in,0.1576005366601465
Indemnifications,8,by,0.1296717401511007
Indemnifications,9,of the,0.10858663940273121
Indemnifications,10,such,0.1078370917718
Indemnifications,11,shall,0.0843729920209097
Indemnifications,12,a,0.08346049925281952
Indemnifications,13,company,0.08183104788122991
Indemnifications,14,the company,0.07772483042482412
Indemnifications,15,be,0.07505253017541716
Indemnifications,16,to the,0.06390708279374427
Indemnifications,17,this,0.06387449376631248
Indemnifications,18,with,0.06110442643461015
Indemnifications,19,other,0.05781293466399915
Indemnifications,20,as,0.05647678453929567
Insurances,1,the,0.5084800086861729
Insurances,2,and,0.3790170519502009
Insurances,3,of,0.3135085132744145
Insurances,4,to,0.2546874027021231
Insurances,5,insurance,0.23011879848985023
Insurances,6,in,0.22082641110766552
Insurances,7,or,0.19289933459095712
Insurances,8,such,0.173684752434436
Insurances,9,any,0.12889782196666252
Insurances,10,as,0.12404708186342311
Insurances,11,of the,0.10167716391159093
Insurances,12,with,0.09696770750067889
Insurances,13,by,0.09037446852540204
Insurances,14,a,0.08444055344765286
Insurances,15,shall,0.08203873067808773
Insurances,16,all,0.07549258626691999
Insurances,17,be,0.0729965743691366
Insurances,18,to the,0.06979414400971642
Insurances,19,its,0.0690406309839705
Insurances,20,policies,0.06786504166667831
Litigations,1,or,0.5959592528143939
Litigations,2,the,0.418161108152627
Litigations,3,any,0.2886703839272648
Litigations,4,of,0.2848544331809863
Litigations,5,to,0.2035453288179755
Litigations,6,in,0.12781338323798708
Litigations,7,of the,0.09724384374307482
Litigations,8,company,0.09514716750885586
Litigations,9,a,0.09007321102204602
Litigations,10,the company,0.08873133823214589
Litigations,11,pending or,0.07712759992771702
Litigations,12,there,0.07543841090719776
Litigations,13,pending,0.07380435005991359
Litigations,14,or any,0.0721675959818162
Litigations,15,is,0.06914838220454092
Litigations,16,threatened,0.06667082981890894
Litigations,17,to the,0.06575176670510621
Litigations,18,knowledge,0.06453639723312242
Litigations,19,no,0.06415829276709982
Litigations,20,and,0.06382282456962478
Notices,1,the,0.498079782353086
Notices,2,to,0.3142340284952046
Notices,3,or,0.3118733705809064
Notices,4,of,0.21784684284930486
Notices,5,be,0.2017981765448424
Notices,6,in,0.184359768081156
Notices,7,by,0.16522701643704596
Notices,8,and,0.16041051278932472
Notices,9,shall,0.15943959703425048
Notices,10,shall be,0.12418202883037802
Notices,11,notice,0.12001280235270627
Notices,12,to the,0.1195939759485566
Notices,13,such,0.11706197995983357
Notices,14,any,0.1111412976102632
Notices,15,address,0.0985014498459517
Notices,16,a,0.0979482658795485
Notices,17,other,0.09766270242217373
Notices,18,at,0.07573142889579085
Notices,19,as,0.07573142889579085
Notices,20,given,0.07500800147044141
Severability,1,the,0.38392042592789044
Severability,2,or,0.34445812625067057
Severability,3,of,0.3144086004185733
Severability,4,any,0.23224578732149656
Severability,5,to,0.21534121388535787
Severability,6,be,0.19711940096068886
Severability,7,provision,0.18155950950242483
Severability,8,and,0.176674746399125
Severability,9,in,0.17604356914420424
Severability,10,shall,0.17006110646712919
Severability,11,this,0.16545076825727317
Severability,12,unenforceable,0.15441384976488326
Severability,13,agreement,0.14607637078014016
Severability,14,invalid,0.14531874002327563
Severability,15,or unenforceable,0.1370538343809838
Severability,16,such,0.12672941579235156
Severability,17,this agreement,0.1231893346669264
Severability,18,of this,0.1217348827316742
Severability,19,as,0.08756898349791983
Severability,20,provisions,0.08625174400938955
Survival,1,the,0.5642692313480937
Survival,2,of,0.399444505082333
Survival,3,and,0.3437328590615071
Survival,4,or,0.2519019401420118
Survival,5,any,0.18850439718210865
Survival,6,this,0.15269611433299726
Survival,7,shall,0.14954178668748
Survival,8,in,0.13590265165686313
Survival,9,of the,0.13430327425913607
Survival,10,agreement,0.11875377178123413
Survival,11,survive,0.11247974551233147
Survival,12,to,0.10831339154607138
Survival,13,this agreement,0.10547005395011216
Survival,14,shall survive,0.09715007017117279
Survival,15,termination,0.08885429987372549
Survival,16,section,0.07663683364108824
Survival,17,of this,0.07361578744538157
Survival,18,other,0.07241625439708628
Survival,19,survive the,0.06798175174088301
Survival,20,termination of,0.06668515205523098
Taxes,1,the,0.4406148738540552
Taxes,2,or,0.3297460677055355
Taxes,3,to,0.31778093855360584
Taxes,4,and,0.31262424989553517
Taxes,5,of,0.24071261509353387
Taxes,6,any,0.21799095569390992
Taxes,7,taxes,0.16264946538887579
Taxes,8,in,0.15905161579736765
Taxes,9,be,0.13431562489068483
Taxes,10,such,0.12388138768411994
Taxes,11,by,0.11489746916263742
Taxes,12,all,0.11348743710769621
Taxes,13,tax,0.10981352352151633
Taxes,14,other,0.0924578161740017
Taxes,15,a,0.08923488576270752
Taxes,16,with,0.08214443885786034
Taxes,17,have,0.07888122181642498
Taxes,18,for,0.07718918335049554
Taxes,19,shall,0.07686689030936612
Taxes,20,to the,0.07420797272004843
Terminations,1,the,0.6527053096061536
Terminations,2,of,0.32422135067995744
Terminations,3,to,0.24354754276040305
Terminations,4,and,0.21660364866072146
Terminations,5,or,0.20539456771690862
Terminations,6,any,0.19171212149441405
Terminations,7,in,0.13982407543526165
Terminations,8,agreement,0.13624558950014767
Terminations,9,this,0.13024636307951545
Terminations,10,shall,0.12929911680257353
Terminations,11,of the,0.1177216623066166
Terminations,12,termination,0.0973558673523651
Terminations,13,such,0.09698749380022101
Terminations,14,by,0.09593499793695219
Terminations,15,this agreement,0.08835702772141675
Terminations,16,be,0.0827261748529286
Terminations,17,to the,0.07335896166983619
Terminations,18,a,0.07141184432278888
Terminations,19,on,0.06699136169705987
Terminations,20,company,0.06562311707481042
Terms,1,the,0.6915862799391136
Terms,2,of,0.32962666904435983
Terms,3,to,0.19468558603535074
Terms,4,and,0.18658912105481018
Terms,5,shall,0.1690203212277549
Terms,6,term,0.16293474297440744
Terms,7,this,0.13779865888449397
Terms,8,agreement,0.13525859143961852
Terms,9,in,0.13457065650663141
Terms,10,of the,0.12970219390395343
Terms,11,date,0.12785006139206506
Terms,12,this agreement,0.10689450497184248
Terms,13,or,0.10165561586678684
Terms,14,on,0.09355915088624629
Terms,15,be,0.08779108106350826
Terms,16,as,0.08609770276692462
Terms,17,the term,0.08313429074790324
Terms,18,a,0.07561992455681332
Terms,19,for,0.0683701487245646
Terms,20,any,0.060749946389938206
Waivers,1,of,0.43653316490142646
Waivers,2,or,0.4121106549720363
Waivers,3,the,0.4024850116455681
Waivers,4,any,0.38220972038343287
Waivers,5,to,0.19609688266156033
Waivers,6,and,0.16169032779248238
Waivers,7,of any,0.12989498467686125
Waivers,8,a,0.126822970849265
Waivers,9,in,0.12221495010787063
Waivers,10,waiver,0.11985973950671351
Waivers,11,by,0.11960373835441382
Waivers,12,other,0.11791413074923589
Waivers,13,be,0.10449967036873228
Waivers,14,of the,0.10035245170147736
Waivers,15,this,0.09989164962733792
Waivers,16,shall,0.09789484063940035
Waivers,17,agreement,0.09328681989800598
Waivers,18,party,0.08944680261351068
Waivers,19,such,0.08074276343532132
Waivers,20,any other,0.06958111319505496
